Venue,Sentiment,Text
city cruises london,negative,No car parking at all! Some of the more modern cruisers have disabled like but by no means all.
city hall salisbury,positive,Local shopmobility parking is close enough. There are also a few disabled bays on site. Easy access to a single small loo
city hallsold fruitmarket glasgow,negative,"I traveled in a taxi to this event, you can be dropped off immediately outside Queen Street, High Street and Argyle Street train stations are within walking distance.  There are regular buses on the Trongate and Glassford Street which are nearby the venue. There is an NCP car park on Ingram Street and Albion Street.  The accessible toilet is close to the balcony area. The toilet doesn't have a RADAR lock which would be good because as I went to use it I saw five girls all go into the accessible toilet at the same time because there was a small queue for the ladies toilets. I ended up having to leave without using the toilet because they were taking too long.  "
city hallsold fruitmarket glasgow,positive,"Easy to get to. Very clean. We found nearby on-street parking and used our disabled blue badge. The location is quite handy if arriving by train with Glasgow Queen Street station only a 10 minute walk away and Central Station around 10 – 15-minute walk. There is an NCP on Ingram Street which is right at the venue. The car park has an amazing street art mural so it definitely stands out. I would normally travel up to Glasgow by train however as there was disruption on the railway I drove up by car with the help of my Mum. We parked in the St Enoch Centre car park which was ideal as it is open air and so no height restriction. Only thing is you have to have the right change availabile for the car park meter. Alternatively you can call Ring Go from your mobile and pay over the phone. Telephone number on parking meter. There are also also accessible and changing places toilets available within the St Enoch centre. It's near Glasgow Queen Street station so convenient to get to. Not sure where the nearest blue badge parking is nearby. Clean, tidy and spacious."
city of arrecife arrecife,negative,If you find one it should be adequate but basic. Most I have visited have had good circulation and side transfer space. Rails either side of loo but they don't do red cords. If you can travel over rough cobbles there is the loo with the best view in Europe by the castle by the sea. 
city of arrecife arrecife,positive,"If arriving by cruise ship there are shuttles and taxis into town. Shuttle buses drop you half a mile out of town. Taxis get you closer. Walkable or wheel able if you can manage one and a half miles. Smooth path all the way but to get through dock gates you will need to go in the road, no dropped kerb (kribbie if you are from Dundee. )"
city of bath bath,negative,Driving around Bath is generally difficult.  We were lucky on our visit to find disabled parking spaces near places we wanted to visit.  There are a number of larger car parks with disabled spaces
city of bath bath,positive,I used accessible loos at various places in the town - all were adequate
city of malaga malaga,negative,"They were not so easy to find, a wheelchair guide really needs to be provided. Starbucks and museums had facilities as did a few beach locations."
city of malaga malaga,positive,"Buses are accessible and wheelchair accessible taxis are available, just speak to the hotel concierge. From Marina access was great. Did not drive or use local transport.  Used loo at City Hall and Marina. Access good, Spain tends not to have red cords. "
city of schagen schagen,positive,"This city can be accessed by train and by transit buses.  There are also taxi companies who can accommodate all needs.  There are also various accessible parking options within the city.  On Market days, it can get a bit crowded, so be sure to arrive before 10.  The company Accessible Travel Netherlands can assist with transportation and lodging arrangements. Accessible toilets are available at locations around the city center, and there is a collection of restaurants that are easily accessible with a wheelchair.  Some of these locations include the Bibliotheek, the Slothotel Igesz, Mikados shopping center, Rumours bar and cuisine, Linke Loete restaurant, and McDonalds (located a short distance from the train station)"
city of vienna vienna,negative,Parking rules are complex. If you go at the weekend park in zone 1... its free with blue badge in street bays. Different zones have different rules. Do your research about where you wsnt to visit... most stuff is zone 1. We didnt see many disabled loos.  Best head for a public building or restraunt. We used the one in the parliament builbing and it was great.
city of wells mendip district,positive,Parking in Wells is limited - we used large public car park near the town centre - all disabled spaces were taken at the time of our visit but this was not a problem There is an excellent disabled loo in the cathedral cloisters
city screen york picturehouse york,positive,"There are two disabled toilets in situ outside the main toilets; plus disabled toilets inside the main toilets.  All with good lighting, good space for manoeuvring, and equipment in place that's appropriate, i.e.. wash basin is lower."
city sightseeing glasgow glasgow,positive,Pretty easy to go from Queen Street station and find the bus in George Square. On street parking or usual city centre parks. If you have a car start your tour at the Museum of Transport where there is ample free parking. 
city toiletten berlin,positive,"Not applicable The CityToiletten are on street level. The cost is Euros 0.50 but if you have a Eurokey (the universal key for accessible loos in Germany, Austria & Switzerland) admission is free and you can (once inside) occupy the loo for up to 40 minutes. They are equipped with grab rails and alarm buttons. Flushing is automatic and happens after you leave."
civic centre pay and display car parks poole,negative,"When we arrived in the car park, we were shocked to find they charge all disabled people unless they have registered their car a month before visiting, this has made disabled pay when they never used to!"
clacton factory outlet clacton on sea,positive,Very large car park which has wheelchair friendly lift access Dedicated disabled toilets accessed using Radar key - spotlessly clean
clapham junction railway station london,negative,"There is only one accessible toilet, on the raised concourse above platform 17. It's often grubby. The red emergency cord hangs in a remote corner and dangles behind a rubbish bin: it is, therefore, absolutely useless, completely inaccessible to anyone who falls to the floor. This is a mind-bogglingly silly piece of design. See my picture below. There is only one accessible toilet, in fact I think it is the only public toilet on the station.  It was just about usable with a large powerchair with a user able to manouevre himself into position.  It was clean but in one of those old cubicles that somehow never feel completely clean.  Better than nothing but really such a busy station should have much better facilities for all - the toilet is often used by parents with children who have nowhere else to go."
clapham junction railway station london,positive,"Absurd to try and park nearby. But the area is rammed with buses all the time, and zillions of trains pass through the station every day. Used the bus to access from Charing Cross hospital.  Certainly easier and quicker to get to than Waterloo from there and buses less crowded too.  Usual problems with London bus disabled access but no specific problems."
clare lodge holiday centre newcastle,positive,"There is limited disabled parking, but the staff will reserve you a space if you ask There are ensuite wetrooms in every bedroom and the accessible loo on the first floor is just in front of the reception. "
clarks leeds,positive,Within the White Rose there is many spaces reserved for disabled parking near entrances to the centre.
clarkston library clarkston,negative,"If you drove you could easily reach the library however if you took the train or bus, there would be a few raised platforms in the path, but there is mostly just ramps or flat ground once you get off the footpath and onto the direct path to the library. Was clean and accessible, not specifically able to fit carer."
clava cairns inverness,negative,Clava Cairns is set away from the main Inverness to Elgin road and requires visitors to negotiate a labyrinth of country lanes; becoming single track as you get closer to the monument. It’s a place where public transport doesn’t call so you do need your own means to get there.   The car park is small and created with an impacted pinky orange gravel. Not without a few puddles it’s good enough to be able to wheel around fairly easily. The parking is random with no clearly defined bays. Choose your spot carefully if you need side access to get you wheelchair into the car. 
cleopatras wrexham,negative,"Disabled toilet available, though due to it being an old building the route to the toilet is quite narrow and toilet quite small. Larger mobility scooters and chairs might struggle. Euans Guide red cord card left with them to attach. No change facilities. "
cleopatras wrexham,positive,There is no specific parking but there is plenty of roadside parking close to the venue in the village. Parts of the pavement are accessible though alighting a kerb might be required. 
cliffs pavilion southend on sea,negative,"Car park was full, so couldn't use disabled parking."
cliffs pavilion southend on sea,positive,Disabled parking right outside the door Big enough loos for wheel chair access and well maintained
cliftonhill stadium coatbridge,negative,There is some parking in the streets around the ground and there is a car park with in the ground its self. There is a charge for this but it is free to Blue Badge holders. The car park can be accessed via East Stewart St.  It should be noted that the car park area is not that large but it is ideal for the size of the club. There is an accessible toilet next to the disabled access area it can be found by going past the club food outlet area. The toilet is basic but again for the size of the club is ideal
climbzone paisley,positive,"Coming by car is easy, Soar/Braehead is just off the M8. They both have their own large car-parks, with many marked disabled bays.  The car-park is immediately outside Soar.  Coming by public transport might be more difficult. There are buses to it, but I haven't used these. There are accessible toilets within Soar (where Skypark is). The main Braehead centre, which is next door has accessible toilets plus a changing places toilet. We did not use any of these on our visit."
clintons glasgow,negative,Parking is reasonable at Braehead with a number of disabled parking on the upper and lower level.
clober farm glasgow,positive,"There are 2 parking spaces right outside Clober Farm at the front door, this means that it is easier for wheelchair users to get access to the house. Especially if the weather is bad.  Due to not knowing about this area of Glasgow I can’t really comment on the public transport, however there was a train 10 minutes away from Clober Farm.  I visited the SEC Glasgow whilst staying and it was roughly a 30-minute drive from Clober Farm to here. It is also roughly the same amount of time to the city centre of Glasgow. There are two toilets in Clober Farm, a bathroom and an en-suite shower room that is connected to the bedroom with the ceiling tracking hoist. Both are very spacious for wheelchair users, there is an adjustable sink and an emergency red cord freely hanging beside the toilet in both.  In the shower room en-suite there were 2 shower/toilet chairs for visitors to use, they are for adult sizes which is too big for my height, but with a bit of improvisation I managed to use one of them.  Unfortunately, the ceiling tracking hoist did not go through from the bedroom to the en-suite, which means the wet shower chair had to be moved into the bedroom. This was not a huge problem, however it would have been easier if it did go through."
clober farm milngavie,positive,"There are 2 spaces at the front door. We did not use public transport so cannot comment. Spacious wet room with height adjustable wash hand basin. Good turning space. Choice of 2 shower chairs. Grab rails at shower, sink and toilet."
clockwork bar and restaurant glasgow,negative,Car park was being used for more outdoor tables so had to park in the street in a busy area with lots of tenement flats.
clothing4 schools burton on trent,negative,"There was no disabled parking, it was what looked like an abandoned yard, full of hideous pot holes,.. Made the whole trip a frightening experience, being unsteady on feet, with all the issues that a stroke has,   "
cloverley hall christian conference centre cloverley hall,negative,"One of the toilets has an open plan, so is easily accessible. However, the cubicles are small. There is one disabled toilet which is usable for someone in a wheelchair. However, for a child with a complex disability, there is no space for a carer or two to toilet or wash the child."
cloverley hall christian conference centre cloverley hall,positive,"There are no specific spaces designated for disabled parking, however, there is a large car park, and spaces are generally bigger than standard. There is also the option to park outside of a specific parking space if it was needed."
club moativation solihull,positive,"Car park very handy for spa and gym, just remember to REGISTER YOUR CARE"
clumber park worksop,negative,There weren't a huge number of disable parking spaces - we had to go to the more remote end of the car park to find a non-disabled space. 
clumber park worksop,positive,"We always drive to Clumber Park. There is car parking, including blue badge spaces, though these tend to fill up quite quickly. We often bring our motorhome, and park it in the coach bays, usually along with several others. It is a short walk from the car park to the visitor centre. There are several accessible toilets in the park. The toilets on the other side of the lake (our halfway stop) aren't accessible. I usually have to go anyway, and struggle in with a bit of help from hubby. At the moment, the main accessible toilet is closed but there is one in the discovery centre, which is probably better anyway. My only real complaint is that the nappy bin can only be opened by foot and isn't close enough to the toilet, so changing big adult pads is a bit tricky. Oh, and they have that toilet paper that is so thin that it tears off as soon as you touch it, so getting enough out is a struggle. I didn't use it but there was one so I'm giving them the benefit of the doubt!"
clyde community hall glasgow,negative,Very hard to find subway near by but not accessible 
clyde community hall glasgow,positive,Plenty of Buses come from various locations along Paisley Road West and also Govan Road. There is also a Subway Station around about 10mins walk away.   There is an accessible Loo at this centre and it has plenty of room to move around in and a low sink to use. 
clyde shopmobility clydebank,positive,They are guaranteed parking for disabled people in front of the shop and the bus stop and the bus train is' three minutes by walking There is an accessible bathroom for people with mobility problems
clyde walkway and millennium bridge glasgow,negative,We used taxis to take us to the  Tall Ship and then walked along the riverside path on our exploring. It's probably easier to join the path at the SECC or BBC plaza.
clydebank town hall clydebank,positive,"I parked in front of the entrance for people with disabilities and I immediately found the room, easily accessible thanks to a wide corridor. Toilets were accessible and close to the room, easily to find and very clean."
clynfyw farm boncath,negative,"We parked outside a door. Could not see parking facilities but also no reception or staff around. lots of parking spaces but not much local transport. All the loos and bathrooms are accessible as far a I can remember. If you have particular needs, explain them to Jim and he'll be happy to place you somewhere suitable if he can."
co op food derby,negative,The parking was limited. There was a car park around side too. The accessible bays appear wider but aren't very well marked.  Disabled parking is limited. I4 & Indigo trent barton stop near by.
co op food derby,positive,Disabled parking bays outside both entrances of the store. I4 & Indigo (Trent Barton) stops a few minutes walk away. 
co op food fochabers,negative,No disabled parking near the shop and Fochabers is usually pretty busy so you may have to park far away.
co op food shetland,positive,"Fantastic parking directly outside the store with lots of spaces available. The accessible loo had everything I needed, but there were some issues with the red cord being tied up. It was tied up pretty tightly and after about 10 mins I had to give up. There was also a strange sign on the wall next to the red cord which was obviously intended for drivers, which read ""should you require assistance, please sound horn""."
coal grill bar exeter,negative,"The loo was fine, once I'd asked 3 people to move as the restaurant had two tables in front of the disabled loo!?!?"
coal grill bar exeter,positive,Plenty of parking spaces as this is the city centre.
coast coffee anstruther,negative,"Some parking bays outside though on a busy weekend I'm sure they will be constantly full.  There are two public car parks just along the road, both have a good number of disabled bays. Really tiny.  They had added a handrail by the door, but there was hardly any room to move."
coast port glasgow,negative,"Limited Disabled spaces, infrequent public transport"
coast port glasgow,positive,Roomy with good facilities 
coast rosslare strand rosslare,positive,Arrived by car from Rosslare ferry terminal. Disabled parking bay directly outside main entrance of hotel 
coast to coast norwich,positive,Plenty of parking in a nearby multi storey. Excellent.
cobbs aviemore,negative,"Aviemore on a busy Saturday is not an easy place to park. There are a few disabled parking bays but they were all taken. We were lucky as a parking place right outside the venue became available, but had this not happened the walk from the car park would have taken me about five minutes."
cockenzie house gardens cockenzie,negative,I travelled on the 26 bus which stops close by.  There is some on-street parking beside the walled garden but no accessible parking marked. I visited at 11am before it was too busy on this sunny morning. 
cockenzie house gardens cockenzie,positive,Parking is at the rear and on street. There are toilets on most floors. I saw two on ground level which were large enough for wheelchair access and had bars.
coco gelato cardiff,negative,No parking and difficult to park on the road.
coco gelato cardiff,positive,"The loo is very easy to find. The door to where the toilets are located is heavy and does not open electronically. Once inside the accessible toilet is left unlocked so no problem if you don't have a radar key and users are spared the indignity of having to ask. The toilet was very clean. There is a baby changing shelf but not one suitable for an adult. The red cord was in place and reached to the floor. I can't comment on parking as I don't drive but there is a bus stop close by and buses on this road are very frequent. I didn't use the accessible toilet but it was easy to find and unlocked. There was no handle on the outside so the gentleman who wanted to use it couldn't open it himself so I spoke to manager Dave about this. He said that, within a week of opening, someone had ripped off the handle.  The cafe has only been open for a few weeks and he is planning to install a bar with which people can open the door themselves. Last time I was here I spoke to the manager. I said the loo was great but there was no handle on the outside of the door. That has been remedied. I only give 4.5 because there is a door which needs to be pulled open before entering the are where the loos are. I was pleased that, although there is a Radar lock on the door, the door was unlocked so anyone who doesn't have a key doesn't have to ask for one."
codebase edinburgh edinburgh,positive,"CodeBase is just behind Usher Hall which has great bus links, also close to Princes Street with bus and tram links. There is also a car park across one road which charges. Some roads and crossings are a bit bumpy for wheelchair users so not the smoothest journey if you’re unsure where to go. The accessible toilet is the first one on the right. It has enough room for myself in a powerchair and another person to help. The red cord is to the floor and is hanging nearer the door than the toilet itself. Handrails are on both sides of toilet and mirror. Good turning space for wheelchairs and the door opens outwards."
coffee affair inverness,positive,"I parked in the eastgate centre and then walked to the coffee shop (About a 2-minute walk!)  This venue is in the centre of town and there is on-street parking very close by which was free at the time I visited, however, it was a shockingly wet day and it might not be available in better weather being right in the town centre.  There are also a few car parks fairly nearby at Eastgate Centre and  The Bus station for example.  Again, being in the town centre, it's a few minutes away from the train station and the bus station so it's quite easy to get to. This toilet was clean, accessible and spacious.  It had a red cord within easy reach and grab bars.  The door was wide and manageable and there was plenty of space to manoeuvre inside; I know that sometimes when the accessible toilet is shared with the changing area it can be pretty messy with overflowing bins of nappies etc. but this was not the case here and it was really good."
coffee angel edinburgh,positive,"Decent size, doubles as baby change. No red cord."
coffee co dundee,positive,There are various disabled parking areas and car parks in the city centre so parking is as much the same in any city. No problem with access. Absolutely spotless.
coffee republic bracknell,positive,"This is a town centre location,  & has no parking. However there are near by car parks only a short distance from the venue.  There is a disabled toilet, which is to locate & with good access"
coffee1 bath bath,positive,The cafe has parking (including disabled parking) right outside the front entrance. It is about a 20 minute walk from both Oldfield Park and Bath Spa railway stations. It is right next to the cycle path. It is 5 minutes from a number of bus stops. These are situated to the back of the cafe.
coffee1 cardiff,negative,There is no disabled parking. There is no car park. It is very difficult to find a parking space in this area. There are bus stops nearby if you can use the bus or you can be dropped off by taxi. No problem with the loo itself but it is reached via a step. No ramp. Plenty of room inside.
coffee1 cardigan,positive,"The parking is in a public car park or on street parking. The disabled bays are spacious and Ceredigion Council offers free parking to tax exempt vehicles. The unfortunate thing is there is a steep hill to climb to the main high street where the coffee shop is situated. There used to be a lift, but the shop in which it is situated at the back of, is currently closed and up for let. "
coffee1 lichfield,negative,To cramped and also a baby changing room. No room to turn chair round 
coffee1 lichfield,positive,Car park next door 
cohens chemist bristol,negative,Crown Glass Plaza has disabled parking in its car parks. The nearest to Cohens Chemists is the Council owned parking approximately 200m away on Mizzymead Rd. The nearest train station is Nailsea & Backwell which does not have disabled access.
colchester zoo colchester,negative,"We visited two toilets. The first one was inside an exhibit, but for some reason had a ridiculously steep slope leading up to it. I doubt anyone in a wheelchair could make it alone, and with no handrail my husband needed my assistance to get to them safely. The actual toilet was dark and cramped."
colchester zoo colchester,positive,"Several disabled parking spaces very close to the main entrance. There were plenty of disabled parking spaces near the entrance on a reasonably good surface. I understand another reviewer wasn't keen on the accessible loos, but the one I went to near the lorrikeet house was clean and spacious, with enough grab handles."
coldingham bay eyemouth,positive,Impressed with the parking set up. You come first to the main car park where there are 3 blue badge spots. If you carry on down the steeper tarmac path it is signposted for emergency and blue badge traffic only. There are two spots at the bottom here right next to wooden platform. Even if these are full it’s still worth checking as you can use the area to drop off disabled passengers.  There’s a dedicated accessible loo with a radar lock - but we didn’t check it out and presumed it was closed due to Covid.
coleton fishacre kingswear,positive,"On the same level as the entrance, plenty of space for wheelchair and carer. Usual facilities."
colfin creamery stranraer,positive,"We travelled by car, it is quite remote ( an old farm/ creamery as the name suggests). Plenty of parking right at the door, and more up the side of the building. The parking up the side is on a slope which had slight implications for the wheelchair, I would have struggled to self propel my chair  Accessible loo easy to find, clean and fresh, lovely decor Plenty of room to manoeuvre  wheelchair and turn full circle Plenty of room for a carer One drop down rail to left of toilet, I found this difficult as I need to push up with both hands to get off toilet, perhaps repositioning the adjustable rail to the right hand side of the toilet and a grab rail on the left hand wall, would provide more assistance for wheelchair users I had to move a bin & toilet brush to get to sink, but that was a minor issue. However I had to use my wet hands to turn my chair to dry my hands on the towel which was hanging on the door behind me, the towel hook could do with being a couple of inches lower for wheelchair users to use."
coll bunkhouse isle of coll,negative,The CalMac ferry over from Oban seems to be a bit disorganised we arrived at 6 am after a long drive and there were no toilets open until 7:15 at the check-in. The ferry company has done it's best to make the ferry covid-19 safe. The return ferry from the island had a very steep access ramp and I was lucky I had a strong person to push although help was available from the ferry company The parking at the bunkhouse was completely flat and wheelchair accessible
coll bunkhouse isle of coll,positive,There is parking right outside the Bunkhouse. There is no public transport on the island. The loo is fully accessible with grab rails. It is in the shower room specifically for wheelchair users The wet room and disabled toilet was well equipped lots of grab rails and and a shower chair to sit on lots of space
collective edinburgh,negative,"I walked up from the entrance beside Greenside Parish Church off Royal Terrance, this is a steep slope and took me just under 5 minutes to get up. At regular intervals drainage is across the path, this could be tricky for some people.  Latest bus stops are on London Road, or regent road."
collective edinburgh,positive,"It's actually very good once you know how. Walking up the hill by most of the paths requires negotiating steps. If you are looking for level access then it is a trek up the access road. The gates are directly opposite St Andrews House in Waterloo Place and you can be taken up by a taxi and dropped off. Blue Badge holders can drive up the access road and park outside the Collective at the top of the hill. Take care driving up the road as it can be busy with pedestrians who may not be expecting vehicles to be using the road. If like me, you are a wheelchair user, you can wheel up and down the road but it is a fairly steep gradient going up - I required the assistance of a willing helper to push me; but it was achievable. Just reward the accompanist with coffee and cake when you get to the top! The Collective has three accessible toilets. All modern, reasonably spacious and well appointed. The first is in the main observatory just by the entrance, the second in the restaurant and the third in the main gallery. Conventional toilets are available under the restaurant and are signposted from the main pathway. If you are a Changing Places Toilet user your nearest options are the ""Booking Office"" Wetherspoons pub on Waverley Bridge or the Scottish Parliament. There are toilets below the restaurant called The Lookout, however there is a step up to them.  However in the restaurant I noticed there was an accessible toilet. I did not use the restaurant or that toilet. Parking is available for blue badge holders and I believe you could also get a taxi to take you up the hill. For those not bringing a car, it is a steep climb with steps or via the road. Once at the bottom of Carlton Hill there are lots of nearby bus stops and a short walk to Waverley Train Station. The accessible toilets were clean and tidy and everything looked new and in good working order."
collosseo restaurant doncaster,positive,"A large car park to the side of the building with plenty of parking and disabled bays are marked.It is about 30 minutes from Doncaster train station by foot,it is also on a bus route but not to sure which one."
colosseo metro station rome,negative,"I passed a large accessible loo on the landing of the stairs. However due to its location, it is not particularly accessible as wheelchair users would need to use the stair lift to access it, and it wasn't the largest of stair lifts."
colston hall bristol,negative,"No designated parking but we can always find a spot on the double yellow lines on Colston Street just up from the hall, with the blue badge.  There is a multi storey car park over the road (I think blue badge holders have to pay) which is a short way down a steep road (Trenchard Street). The roads in Bristol are a complete and utter mess at the moment, so I'm not sure how easy it would be to get parking near this venue. I walked from the centre of Bristol, and even that was stressful due to the poor consideration for disabled people during these works. Many pavements are uneven and so difficult for cane and wheelchair users to navigate."
colston hall bristol,positive,"Toilets excellent but if in the Lantern you'd have to take the two lifts mentioned above, and go through a corridor (with a bit of a thick carpet) and past the bar which is a bit of a long way.  If in the main hall downstairs there's a disabled toilet off the opposite side to the entrance which is not signed at all (and it's up a sloping corridor but still the quickest option). No parking at the venue. But plenty of on street parking and car parks close by. We weren't sure about something and saw a parking warden. He was extremely helpful. Very accessible. A bit scruffy."
columba 1400 cafe isle of skye,positive,"We drove. It was well signposted. Two blue badge spaces in a level car park Toilet had rails and was big enough to get a wheelchair in, just."
columbia coffee lounge scunthorpe,positive,"2 hours free parking is available in all of the council car parks around town. There are four situated around the town centre. There is also parking on the side streets, which is usually free for 1 hour."
colwyn bay railway station station square,positive,Just outside station doors
comfort foods inverness,positive,Situated on a pedestrian street. There are some disabled spaces further along this street 
comicrazy paisley,negative,Current plans in place to make more accessible for wheelchair users
commemoration hall huntingdon,negative,I parked in Princes Street car park which is very close by and level. Blue badge parking is available.
commemoration hall huntingdon,positive,"There was one disabled toilet next to the cafe. The only negative is the door is heavy and on a tightly sprung hinge, so it takes a few goes to get in. The toilet is newly refurbished and the decor is lovely. There is a red emergency pull cord that reaches the floor. There are rails and plenty of space. A small sink isn't ideal but does allow for better use of the space. There are paper towels for drying your hands. You don't need a radar key for this and the lock is actually disabled friendly as it has a long handle and not stiff. "
commune of ars en re ars en re,negative,I only used the toilet in the restaurant. It had one grab rail and no emergency alarm. I have given the rating of 3 only because I'm unsure if there are any other accessible toilets in the town.
commune of ars en re ars en re,positive,"I travelled to Ars en Re by bus. The no 3 bus travels from one end of Ile de Re to the other. The stop for Ars en Re is on a by pass, s 5 minute walk to the central square. The buses are coach style, with 2 doors, the front door by the driver has a sign for people with walking sticks, it's doable but has quite deep coach stairs. The middle door has a wheelchair sign. "
commune of les portes en re les portes en re,positive,"The no 3 bus's final stop is Les Ports en Re, it's a small village. The bus is a coach style with wheelchair accessibility. When you get off the bus it is a 5 minute walk into the main part of the village. There is an accessible toilet in toilet in the car park next to the bus stop and tourist information office. the toilet had 1 grab rail, no emergency alarm and the toilet seat was missing. However it was clean."
commune of loix loix,negative,La Route du Sel  had a toilet but it there was a step to get to it and there were no grab rails in the toilet. I'm unable to comment about other toilets in the village.
commune of loix loix,positive,To travel to Loix requires 2 buses. The main no 3 bus doesn't go to Loix so you have to change from a coach style bus to a smaller bus which takes you to the outskirts of the village. Both buses are wheelchair accessible. From the bus stop it is a 5 minute walk to the village square.
commune of saint martin de re saint martin de re,negative,"Musee Ernest Cognacq had a disabled accessible toilet, with one grab rail and no emergency cord. Likewise the restaurant Le Marco Polo. The one grab rail, often raised toilet and no emergency alarm seemed to be typing of accessible toilets during my holiday."
commune of saint martin de re saint martin de re,positive,"I used Béatrice Taxis from La Rochelle and on the way there I was in a people carrier, on the return trip I used the same taxi company and they had got me a people carrier with a pull out step, which made it easier to get in and out. The driver was extremely helpful and took my luggage into the hotel. Alternatively there is buses which run throughout the day connecting Ile de Re to La Rochelle. The nearest bus stop is Saint Martin de Re Le Port and it is a 1 minute level walk to the Port. In the Spring - Autumn if you are driving to access the port area requires a code, which your hotel should give you and there is a charge for the car parks. There are direct flights in the summer season from Gatwick to La Rochelle with an actual flying time of 1 hour 10 minutes."
community cafe forres,positive,"Their is one parking place for blue badge holders outside the building and a generous car park at the back. There is a bus stop within 100 metres There is a spacious,  accessible loo in the Community Centre adjacent to the cafe. Easy to find and well signed"
como lounge witney,positive,Nice & clean. A little difficult to open door to get out.
compton verney art gallery park stratford upon avon,negative,"The doors are manual, very heavy and difficult to operate from a chair. It’s clear they haven’t been tested by wheelchair users. "
compton verney art gallery park stratford upon avon,positive,"There is a shuttle bus running from carpark to house which is a 5 min walk. Disability parking at the house Disabled loo easy to find, rails to use ams plenty room Bus stop outside but hard surface needed by stop.  Large car park but blue badge users also  allowed to park at the House. Transport from the Welcome Centre to the House instead of walking is not fitted out for wheelchair users which isn’t  mentioned. Ground floor loo  to Part M standard including Euan’s card on the red cord!  Baby change inside toilet on the ground floor but plenty of room. Accessible toilets now on other floors but not visited. Once you have purchased your tickets at the booth in the car park, automatic gates allow access up the drive right to the front of the house for disabled parking. Main disabled toilets are off cafe on ground floor but there are also facilities available on the Mezzanine level. Car park changes made and provision of a Shuttle Bus on demand for wheelchairs, mobility scooters and a tail lift that someone can stand on for access to the bus too if unable to use the steps.  I was dropped off by taxi which then waited for me in the car park.  I returned to it using the Shuttle Bus but the House staff would have radioed the Welcome Centre to send the taxi back to me too if I had asked.  There is a bus stop outside, Johnson's No. 6 that runs between Stratford upon Avon and Banbury. Previously commented and Euan's card installed, no changes needed. Parking available in the main car park or next to the gallery if that is preferable. The driveway between the car park and the gallery is wheelchair accessible and it is a pleasant and scenic 10 minute walk in fine weather Large well designed loos with grab rails and plenty of space. We have always found them to be clean and well maintained with clear signage"
comptons of soho london,positive,"The nearest step-free station is Tottenham Court Road, which is just a few blocks away, and several bus routes will drop you near Cambridge Circus, which is a few hundred metres away. Beware: Tottenham Court Road Station is fully step-free to train only for the Northern Line. For the Central Line, it's step-free to the platform but not to the train - shame on TfL for this omission."
comrie croft crieff,positive,I drove and there is an accessible parking bay close to the entrance of the reception and cafe. There is an accessible loo at the Kata which was ideal for me. It has been raised slightly to make it easier to get on and off the loo.
comrie to st fillans walk crieff,negative,There is a small amount of parking available at the start of the walk just off the main A85 in an area called Dalhonzie.  The ground is as nature intended and there are no marked bays or particular disabled parking.
comur a conserveira de portugal faro,positive,"We walked, and the shop is about a ten minute stroll from the bus station. Frequent pedestrian crossings."
confiserie ballanger nice,positive,Ballanger is located on the main shopping street with Tram Line Number 1 running past it. The tram is the easiest way to get there as it is step free and the Massena tram stop is the nearest although Jean Medecin tram stop is also nearby. 
congo rapids jurassic adventure golf norwich,positive,"Large car park, disabled spots near the entrance although they don’t have the blue badge sign , they are marked by wall signage. Part of the car park is well packed stones and part tarmac. Toilets are accessible and there is a disabled toilet but I can’t say what’s available as I didn’t use it."
conifox stables bistro edinburgh,positive,"Well signed, designated blue badge parking separate parking area, with plenty of additional blue badge spaces in main car park as well.  Good sized disabled toilet, contained changing table for babies which considering this venue is super popular with families might lead to a queue"
conisbrough castle conisbrough,negative,"Private, charged car park is unexpected and unwelcome. Buses from Doncaster and Rotherham stop in the village. Upon arrival my colleague and I had difficulty finding the general car park due to the sign being unclear, however the car park for disabled users was much easier to find as it was near to the visitors centre. The visitors centre/ gift shop was very easily accessed, it was spacious, plenty of light and very well laid out."
conisbrough castle conisbrough,positive,There was a new accessible toilet that was easy to reach but no changing places facilities.
conishead priory ulverston,positive,"There are 2 disabled spaces adjacent to the priory near the cafe. A ramp leads into the priory itself. The disabled toilet is elsewhere in a courtyard leading to the Buddhist Temple. Ample room to ride my scooter in, plenty of grab rails "
connaught gardens sidmouth,positive,"Sidmouth doesn't have a railway station. The 9 or 9A bus from Exeter takes about 35 - 45 minutes and stops at the Sidmouth Triangle. There are other local bus services that go to Sidmouth. In the summer season the Sidmouth Hopper Bus stops at various points of interest in the town, it is step free and has a space for a wheelchair user. From the Sidmouth Triangle, where most of the buses stop, it only takes a couple of minutes to the step free entrance of Connaught Gardens. It's from the same point that you can pick the Sidmouth Hopper to take you back down the hill. There is an accessible toilet which requires a radar key. It is spacious and has grab rails."
connaught theatre worthing,negative,We were dropped off outside the theatre because there wasn't any parking close enough for me to navigate with my sight loss and mobility scooter.
connaught theatre worthing,positive,Large car park next to venue ( pay & display)
contini george street edinburgh,negative,Someone disabled parking available on George Street and surrounding streets. But it is a busy area.
contini george street edinburgh,positive,"I scootered there & got a taxi back. There is parking in George St, which is the location of the restaurant, and plenty of buses nearby so overall easy to get to.  Accessible toilet is on small side. It is quite narrow & there is not room to turn a mobility scooter. There is a drop down rail on one side only.  The other side has a low ledge next to the wall.   There  is an  accessible disabled toilet on the ground floor which has an emergency red current cord. See photo"
conwy castle conwy,negative,"public car parking, not close to castle disabled toilet outside visitor entrance accessible to all"
