Unnamed: 0,Venue Name,Text,Sentence Count,Sentences,Word Count,Review ID,Gold Aspect Labels,Gold Sentiment Labels
170704,De Oude Wester,"I do not recommend!

Service was of low quality. The Polish waiter said I cannot use the toilet …",3,The Polish waiter said I cannot use the toilet …,9,494515,,
170709,De Oude Wester,Quaint Dutch cafe. The decor is nice. The pancakes are tasty. The staff were not particularly chatty but were polite. The toilets could be better maintained. There was no toilet paper and are located next to the kitchen,6,There was no toilet paper and are located next to the kitchen,12,549510,,
170908,De Oude Wester," Went to rest while shopping. Coffee is very decent in the region of 3 euros. Warm, cozy, toilet. There were few visitors. We were friendly and the staff responded in kind. …",6,"Warm, cozy, toilet.",5,594337,,
173420,Groot Melkhuis,"A cosy place to sit back,pause and relax with a cup of coffee beside you.

Downside that had to pay to use the toilet where used it with family and the …",2,Downside that had to pay to use the toilet where used it with family and the …,16,229293,,
173425,Groot Melkhuis,"Big selection of coffee and tea, delicious dirty chai (although a bit pricy).
Also have toilet for 70 cents",2,Also have toilet for 70 cents,6,157046,,
173476,Groot Melkhuis,Good place for a coffee. You can use the toilet only for 50 cents.,2,You can use the toilet only for 50 cents.,9,627705,,
173496,Groot Melkhuis,"Not much choice in food.
The hot chocolate was average.
Had to pay to use the toilet.",3,Had to pay to use the toilet.,7,309013,,
173547,Groot Melkhuis,This place charges money for bathroom use EVEN to paying customers. I find this preposterous.,2,This place charges money for bathroom use EVEN to paying customers.,11,561263,,
173668,Groot Melkhuis,Good place to have lunch but there are 2 women at the toilet entrance who ask you to pay 70 cents for the toilet while I just paid for my lunch! I really don't think this is hospitable otherwise I would have given it …,2,Good place to have lunch but there are 2 women at the toilet entrance who ask you to pay 70 cents for the toilet while I just paid for my lunch!,32,45123,,
173784,Groot Melkhuis,Expensive for self-service. and paying guests must pay for toilet. …,3,and paying guests must pay for toilet.,7,632173,,
176744,New York Pizza,"Poor staff with no manners.
We waited 30 min for our poor rasting pizzas.
You have to pay 50cents for the restrooms.
Definitely not coming back here",4,You have to pay 50cents for the restrooms.,8,628838,,
177670,√î MAI Vietnamees Restaurant,"Good food. Nice waitress. Beware of the sink in the men's bathroom. Water comes out at mach 2. There was someone very sick in the kitchen coughing, and sneezing, very loud, and unmuffled. Kind of unappetizing. Once again Good food though.",7,Beware of the sink in the men's bathroom.,10,192620,,
193280,snackbar 't Snorretje,This is an overall OK snack bar. It was quiet when I visited on a Saturday lunch time. Food came out very quickly and was OK. The menu was quite large and the prices quite cheap. Service was decent. You need to pay to use the toilet.,6,You need to pay to use the toilet.,8,629426,,
197125,Café Luxembourg," Had a terrible experience with the service. Extremely expensive and still nagging for a tip. Toilet was clogged and smelly. Glasses dirty. Terrible, never again. Unworthy of star! …",7,Toilet was clogged and smelly.,5,566365,,
197802,Duke of Tokyo," Damn what fun this is! Japanese theme is a lot of fun and the booths for karaoke look good. Soundproof, so you don't hear the neighbors' cat whine! (Only in the hallway to the toilet). …",5,(Only in the hallway to the toilet).,9,136534,,
203126,KFC,50 cent to use the toilet! What a joke...,2,50 cent to use the toilet!,7,139833,,
203221,KFC,What a typhoid thing. No coffee ok too bad. Paying for toilet is understandable. But it is ridiculous that you cannot pay the 50 cents for the toilet with your order …,4,But it is ridiculous that you cannot pay the 50 cents for the toilet with your order …,17,198394,,
203263,KFC,Fighting food. There are machines to order the menu in several languages. To use the bathroom you have to pay 50 cents. …,4,To use the bathroom you have to pay 50 cents.,10,565974,,
222448,Village Bagels," Good bagels. Really delicious. Unfortunately toilet was dirty and the soap pump in the toilet contained water instead of soap. When I reported that, the pump was not replaced. Little dirty! …",6,Unfortunately toilet was dirty and the soap pump in the toilet contained water instead of soap.,16,573659,,
231611,Brasserie Blazer," Nice meal just outside the busy center. Not great, but just good. Missed a bouncer on the map. Toilet was not very fresh unfortunately. Price / quality ratio was okay …",5,Toilet was not very fresh unfortunately.,6,566368,,
245031,Cafe De Pool,"Falafel Wrap was tasty but very small portion. Toilet is a no go area.. small, dirty and no toilet paper.",2,"Toilet is a no go area.. small, dirty and no toilet paper.",13,566311,,
245196,Cafe De Pool," If I could have given zero stars I would have given them. I go to the bathroom and I can't find toilet paper, much less a sink to wash my hands .. That is, I wonder how it is possible …",2,"I go to the bathroom and I can't find toilet paper, much less a sink to wash my hands .. That is, I wonder how it is possible …",31,325344,,
248037,Caf√© Karpershoek," Good fast service and good quality. Very clean toilet, s. …",2,"Very clean toilet, s. …",5,578096,,
254017,Café Wester," With King's Day a bad experience that as a lady you cannot go to the men's toilet because it takes too long for the ladies to empty your stoma in the toilet. The toilet lady did not want to cooperate at all, bad thing …",2,With King's Day a bad experience that as a lady you cannot go to the men's toilet because it takes too long for the ladies to empty your stoma in the toilet.,36,128819,,
254017,Café Wester," With King's Day a bad experience that as a lady you cannot go to the men's toilet because it takes too long for the ladies to empty your stoma in the toilet. The toilet lady did not want to cooperate at all, bad thing …",2,"The toilet lady did not want to cooperate at all, bad thing …",13,541621,,
256708,De Biertuin Prinsengracht,Waitstaff was awesome. Gave us beer tastings and recommendations in English. Fish and chips hit the spot. Toilet paper was diffidently absorbent.,4,Toilet paper was diffidently absorbent.,5,566346,,
272284,The Butcher,"The staff seems to be treating guests as if it was down town (annoyed by the tourists). The toilets are well hidden and unmarked. When I was looking for the toilets I was stopped as if I was a thief. No hand soap in the toilets. The food is just not that great. You are probably better off at the burger bar, just around the corner.",6,No hand soap in the toilets.,6,413702,,
274716,Piet de Leeuw,Delicious steaks and delicious fries. Reservations are necessary. There are tables where you can sit down. Operation is fast. Toilet is very small and usually filthy. …,6,Toilet is very small and usually filthy.,7,566329,,
277719,Pizzeria San Marco,Enjoy your boat through Mokum. And then just call San Marco for takeaway pizzas. Half an hour later you sail and you can pick them up on the water! You can also go to the toilet. Top! …,6,You can also go to the toilet.,7,626277,,
282407,Bagel & Beans,"Very slow service, and the staff has a loud way of working. We waited for 10 minutes for someone to take the order...
The food was ok but not extraordinary, cappuccino the same.
No soap at the toilet, quite dirty.",4,"No soap at the toilet, quite dirty.",8,414503,,
293347,De Bakkerswinkel,"Nice food, good quality but completely overpriced. They charge 80 cents for a glass of tapwater. Why...",3,They charge 80 cents for a glass of tapwater.,9,552127,,
317543,Cafe de Zon," Not special, dilapidated toilets without toilet paper, just clean enough to use, not really attractive, the only nice thing was the house cat, who was sweet, only she looked sick. …",2," Not special, dilapidated toilets without toilet paper, just clean enough to use, not really attractive, the only nice thing was the house cat, who was sweet, only she looked sick.",36,80105,,
317922,t Nieuwe Kaf√©,Have to pay to use the toilet. Which when you're paying for a meal is quite frankly disgusting. Food is fairly average as well. Avoid at all costs,4,Have to pay to use the toilet.,7,310948,,
317951,t Nieuwe Kaf√©,Central café with a pleasant atmosphere. Staff was very friendly and even served in German. Prices were customary and ok. The homemade waffle was absolutely amazing. Deduction only for the toilet fee. …,6,Deduction only for the toilet fee.,6,217625,,
317991,t Nieuwe Kaf√©," would have given 0 stars !!!!!!
I made the toilet lady aware that the toilet is dirty!
Insulted me as an idiot because it should have been me !! …",4,I made the toilet lady aware that the toilet is dirty!,12,332569,,
318002,t Nieuwe Kaf√©," Great location, nice service, too bad that you have to pay 30 cents for the toilet as a paying customer. …",2," Great location, nice service, too bad that you have to pay 30 cents for the toilet as a paying customer.",22,50726,,
318014,t Nieuwe Kaf√©,It is a pity that if you as a customer are going to drink something you have to pay 30 cents for Toillet !! …,2,It is a pity that if you as a customer are going to drink something you have to pay 30 cents for Toillet !!,25,61957,,
320474,La Madonnina,We ordered food that never came but they tried to charge us for it. We got warm white wine - TWICE! The men's bathrooms had no functioning lock.,3,The men's bathrooms had no functioning lock.,9,519577,,
320678,La Madonnina," Ok pizza. But everything ""out of the way"" was too small. The wine was hot, the water hot, starter came along with the pizza. No soap and hand paper on the toilet …",4,No soap and hand paper on the toilet …,8,414501,,
320688,La Madonnina," Unhygienic, toilet runs next to the kitchen and is really dirty !!!!. My pizza was really not tasty, not recommended, really not. Bah …",3," Unhygienic, toilet runs next to the kitchen and is really dirty !!!!.",16,112473,,
333113,Soenda Kelapa," Excellent Indonesian restaurant. Small is beautiful.
Beautiful rice table. Can also be ordered for a single person. Authentic flavors. Definitely to come back for. Toilet on the first floor. 30 seats. Not too loud …",9,Toilet on the first floor.,5,566342,,
336594,"Ristorante ""Il Primo"""," excellent Italian, affordable, friendly service. only the toilet may be cleaned. …",3,only the toilet may be cleaned.,6,638867,,
340639,Tarbush,Very bad service. Dirty toilet no soap no paper. 0% hospitality and kindness. The food took a very long time to be ready and we ended up getting the wrong order. …,5,Dirty toilet no soap no paper.,6,226165,,
340894,Kings Cross,"Rude staff and greedy venue.
As a paying customer for a couple of hours I would not expect to pay to use the toilet facilities but this is a greedy venue with very rude staff. When …",3,As a paying customer for a couple of hours I would not expect to pay to use the toilet facilities but this is a greedy venue with very rude staff.,30,174220,,
349787,Sluyswacht,Ordered a drink costing  €4.40 and paid  with €10 note but only given 60 cents change.  Got it sorted but should not have happened.,2,Ordered a drink costing  €4.40 and paid  with €10 note but only given 60 cents change.,17,429957,,
350790,TerraZen Centre,"Really good vegan food! Nice sweets. They could have some more drinks.
The toilet is not that nice.",4,The toilet is not that nice.,6,541614,,
353622,Irish Pub Slainte,"Cozy and moderately priced Irish pub in the heart of Amsterdam, on the edge of Red Light district. They accept local debit cards, not sure about credit cards. The men toilet is usually very dirty.",3,The men toilet is usually very dirty.,7,519575,,
362987,Moon,The service was exceptional apart from a few notable hiccups the waiter placed my cutlery directly on the table instead of on the napkin. The toilets where unacceptably bad for such a high end restaurant there was no soap or towels and the …,2,The toilets where unacceptably bad for such a high end restaurant there was no soap or towels and the …,19,541681,,
363694,Starbucks," It does not have a toilet.


Nu are toaletă.",2,It does not have a toilet.,6,61715,,
365482,Irish pub St. James Gate,Really bad service. I waited 10 minutes and decided it was faster to just go to the bar and order drinks. The real disappointment however came when I needed to go to the bathroom. They charged 50 cents! Next time I visit one of the neighbour bars.,5,They charged 50 cents!,5,552163,,
365494,Irish pub St. James Gate,"Bad service. Staff is not nice at all and you have to pay to use the toilet- crazy! Although the bathroom lady says it's normal in Amsterdam. As a local I know it is not. My Coke had no bubbles. When I said it to the servant- they did gave me a new Coke in a bottle. Good solution, but why not the first time?",7,Staff is not nice at all and you have to pay to use the toilet- crazy!,18,477248,,
374573,Salsa shop,"Good, cheap food, don't recommend getting an overpriced drink. The male bathroom could use a lock.",2,The male bathroom could use a lock.,7,518726,,
381837,Dunkin' Donuts," No toilet in here!
There is no toilet …",2,No toilet in here!,5,79332,,
382260,Café Kooper,"Not only terible toilets, but they charge 50 cents for it as well. Drinks were decent to be honest",2,"Not only terible toilets, but they charge 50 cents for it as well.",14,417597,,
382512,Vascobelo V-bar," The flat white was excellent. However, the toilet was filthy. Stacked 3 rolls on the soil container next to the pot. Clutter on the floor. Checklist is not being updated apparently. Checked toilets for only a single …",6,"However, the toilet was filthy.",6,318094,,
389724,Soho,"Awful music, strange prices and a charge to use the toilet! I’m not even sure if that’s legal! A gay bar, but felt like it was purely in name. No heart or soul, just full of women and randomers.",4,"Awful music, strange prices and a charge to use the toilet!",13,180237,,
389767,Soho,I have to pay to use the bathrooms? No. Ridiculous. Bye!,4,I have to pay to use the bathrooms?,9,328991,,
395112,Vondeltuin," Busy, self service, long wait and terribly filthy toilet. Nice venue, knows what to expect. …",3," Busy, self service, long wait and terribly filthy toilet.",11,14637,,
398386,Kwekkeboom," Very expensive. 1 currant bun 80 cents

 …",2,"1 currant bun 80 cents

 …",5,137630,,
406667,t Nieuwe Kafé,Quality food. Only you have to pay for toilet.,2,Only you have to pay for toilet.,7,428772,,
406783,t Nieuwe Kafé,Good food good coffee. Nice service. Toilet is paid because this does not belong to the restaurant …,3,Toilet is paid because this does not belong to the restaurant …,11,566323,,
411209,De Waard," Very bad service! I had wine on the terrace for 3 hours, when I had to go in to the toilet I had to pay 50 cents. When I told that I only had a debit card with me, the toilet lady became very unfriendly. A paying …",4,"I had wine on the terrace for 3 hours, when I had to go in to the toilet I had to pay 50 cents.",25,327947,,
411228,De Waard," Most crowded! 50 cents for a toilet visit from guests makes no sense of course, in this time of 100% pins ... Going out here is not worth it! …",4,"50 cents for a toilet visit from guests makes no sense of course, in this time of 100% pins ...",21,139836,,
419325,Burger King,"The worst burger king I've ever visited. They charge you additionnally for the ketchup. They charge to use the toilet. And I had a really bad experience. When I was there the, I used the toilet, he charged me and while I was searching the …",5,They charge to use the toilet.,6,552148,,
419326,Burger King,It's a Burger king. You need 50cents for the toilet but you can order extra burgers in a meal. With plenty of great places to eat nearby I would dodge it and go elsewhere,3,You need 50cents for the toilet but you can order extra burgers in a meal.,15,629371,,
419343,Burger King,Mostly busy. Had to stand and eat. Asain lady worker screams a lot while black lady worker respond calmly. Had to pay for using toilet.,4,Had to pay for using toilet.,6,309007,,
419344,Burger King,"Very good burgers, pleasent staff. Wierd thing: the toilet is not for free - not even for guests; also, not a clean one",2,"Wierd thing: the toilet is not for free - not even for guests; also, not a clean one",21,618572,,
419390,Burger King,50 cent for dirty toilet. No coments...,2,50 cent for dirty toilet.,5,139832,,
419507,Burger King,Well located space. The time I visited was empty. I thought it was absurd to charge customers 0.50 cents for using the bathroom. The bathroom was poorly sanitized and lacked supplies. The tables were also dirty. The …,6,I thought it was absurd to charge customers 0.50 cents for using the bathroom.,15,337393,,
419517,Burger King," Messy and certainly not clean. There must be paid for the plumbing, but why is a question to me. Never found such a dirty toilet in a restaurant …",3,Never found such a dirty toilet in a restaurant …,9,398231,,
419526,Burger King," We ordered two menus to take on the premises and had to pay for the ketchup. We also had to pay 50 euro cents to use the bathroom.
Ridiculous. I understand that they ask for money from people who have not …",4,We also had to pay 50 euro cents to use the bathroom.,12,596313,,
419543,Burger King," Fast service, great prices. Tables are not always clean and toilet costs money. Great for a quick bite. …",4,Tables are not always clean and toilet costs money.,9,486794,,
419547,Burger King," Burgers really tasty as usual at Burger King. Just a big shortcoming, you have to pay 0.50 cents to use the toilets and the toilets are not clean. …",3,"Just a big shortcoming, you have to pay 0.50 cents to use the toilets and the toilets are not clean.",22,369471,,
419554,Burger King,You have to pay 0.50 € to use their toilet !!! Fortunately the sandwiches were good. …,3,You have to pay 0.50 € to use their toilet !!!,13,130577,,
419555,Burger King,Better than a McDonald's but ... toilets for a fee (50 cents) and not very clean. Otherwise it's still a cool place! …,3,Better than a McDonald's but ... toilets for a fee (50 cents) and not very clean.,19,13746,,
419598,Burger King," Good burger, dirty toilet, and then 0.50 cents for the toilet use! …",2," Good burger, dirty toilet, and then 0.50 cents for the toilet use!",16,41621,,
419631,Burger King," Even if you have eaten in the restaurant, you have to pay to use the toilet. …",2," Even if you have eaten in the restaurant, you have to pay to use the toilet.",17,30306,,
419675,Burger King," Dirty toilets and no toilet paper.

 …",2,Dirty toilets and no toilet paper.,6,28381,,
419682,Burger King," Is the toilet money?


Tuvalet paralı mı olur ya",2,Is the toilet money?,5,61627,,
419711,Burger King," The toilet is upstairs, with a charge.


Toaleta e la etaj, cu taxa.",2," The toilet is upstairs, with a charge.",8,106785,,
423520,Libertine," Food was ok but filthy toilet! Gadver!

 …",3,Food was ok but filthy toilet!,7,37599,,
423888,Stadscafé Oosterdok,"i went to use the toilet which they charge 50 cents if not ordering food which is fair, however, i ended up ordering a very late lunch. i had butcher's sandwich with roast beef on multigrain roll for euro 7.50. it was reasonably priced and good basic sandwich.",2,"i went to use the toilet which they charge 50 cents if not ordering food which is fair, however, i ended up ordering a very late lunch.",29,636520,,
427735,Starbucks,There is no toilet! 👎,2,There is no toilet!,5,548830,,
435033,Caf√© Wester,"Cute little cafe. Nice coffee, clean toilet",2,"Nice coffee, clean toilet",5,402581,,
440232,Cafe Het Paleis,"Clzy small place with kindly service (the waiter's nails was too lomg). The coffe delicious. The toilet very small, but clean",3,"The toilet very small, but clean",7,541626,,
447298,Pizza Amsterdam," I am not satisfied with your products!
Delivery is free via Thuisbezorgt! You charge 99 cents through your website.
The tiramisu in the picture for € 3.99 on your website is completely different …",4,You charge 99 cents through your website.,7,627921,,
450554,Chipsy King,"Worst experience in my life,the place itself looks disgusting,the prices are so high for no reason.
You need to pay 50€ to use a dirty toilet..after I paid 10€ for a kebab and a sprite with small fries.
DISGUSTING!",3,You need to pay 50€ to use a dirty toilet..after I paid 10€ for a kebab and a sprite with small fries.,23,629422,,
450724,Chipsy King," 1 fries with sauce, 6 euros! Also pay 50 cents for the toilet. Never again! …",4,Also pay 50 cents for the toilet.,7,157442,,
453205,Caffe Esprit," Nice location and nice waiters. The toilets were unfortunately very dirty. What a stench (pungent urine smell), stickiness, puddles (water !?) and leftover toilet paper! Tackle and maintain those toilets. Really hope …",6,and leftover toilet paper!,5,632151,,
459323,Caf√© Emmelot,"Beer was fine, €3 per 250ml but no matter how long you spent in the bar drinking, the toilet always costs 50 cents. Today myself and my friends spent €30 on drinks but still had to pay 50 cents each to use the (not very pleasant - no soap) …",2,Today myself and my friends spent €30 on drinks but still had to pay 50 cents each to use the (not very pleasant - no soap) …,28,566120,,
459330,Caf√© Emmelot,Poor and overpriced beer selection. Indifferent staff. They charge paying customers 50 cents to use the bathroom. And a guy next at the table next to me stood up and pissed his pants. If these are the kind of people you want to be around have fun!,5,They charge paying customers 50 cents to use the bathroom.,10,552141,,
459340,Caf√© Emmelot,Only 1 star because they charge for using the toilet for customers 50 cents only on a Saturday so avoid that night but definitely quieter than last night so they deserve less customers. Last night was good that’s why we came back 🙄,2,Only 1 star because they charge for using the toilet for customers 50 cents only on a Saturday so avoid that night but definitely quieter than last night so they deserve less customers.,33,427338,,
459354,Caf√© Emmelot,"Expensive, poor selection of beer.  Toilet charge of 50 euro cent, doors didn't lock, no toilet paper, no soap.  View nice though.",3,"Toilet charge of 50 euro cent, doors didn't lock, no toilet paper, no soap.",19,566297,,
459522,Caf√© Emmelot," unbelievable, wanted to go to the toilet after 4 wines, 2 gin tonic and 3 beer (all already paid). We are told that although we are paying guests, we have to pay 50 cents for the toilet. If we do not want that, we …",3,"We are told that although we are paying guests, we have to pay 50 cents for the toilet.",19,596748,,
459541,Caf√© Emmelot,Service was nice but slow. Not very cheap the shop and then pay for the toilet. That is not how it works. …,4,Not very cheap the shop and then pay for the toilet.,11,419177,,
461246,Drink 'n Sink,"6 50 for a beer and 50p tu use the toilet. That is what totally ruined a very nice look Iooking place.
Staff were friendly and the atmosphere is quite nice, but having been forced to pay to use the customer toilet I won't consider going back there.",3,6 50 for a beer and 50p tu use the toilet.,11,139901,,
464593,Burger Zaken," Home cold enough, he had to move to the counter to place the order while the room was almost empty.
50 cents for a tablespoon of industrial mayonnaise. …",3,50 cents for a tablespoon of industrial mayonnaise.,8,139835,,
471028,Ufuk," Tasty food, but can get the same food for much cheaper elsewhere and maybe even tastier. The prices are way too expensive. And if you want to go to the toilet there, you can pay 1 euro. You don't even pay 1 euro in …",4,"And if you want to go to the toilet there, you can pay 1 euro.",16,169219,,
478068,Chipsy King," I can not talk about the food but was not really welcomed.
50 cents for a dirty toilet is not expensive but I bought a bottle of water …",2,50 cents for a dirty toilet is not expensive but I bought a bottle of water …,16,139834,,
489822,Pianobar Maxim,"You have to pay to get in and then they charge 50 cents to use the toilet! I would be happy to pay more to go in, but it just seems to stingy and cheap to charge for the toilet every time at a bar. Otherwise it’s a great place, but they really should change this policy.",3,You have to pay to get in and then they charge 50 cents to use the toilet!,18,628858,,
489828,Pianobar Maxim,"A money pit. A reasonable €5 for entry, but then €15 for a gin and tonic! You have to pay to use the toilet, i even saw someone leave because the toilet attendant refused them entry without paying. The real tragedy though; was that the …",4,"You have to pay to use the toilet, i even saw someone leave because the toilet attendant refused them entry without paying.",23,628862,,
489865,Pianobar Maxim,"Very expensive place to drink , 20 Euros for two g & t . 1 Euro to come in and 0.50 cents to use the toilet.
Handfull of people in and total rip off..
Avoid",2,"Very expensive place to drink , 20 Euros for two g & t . 1 Euro to come in and 0.50 cents to use the toilet.",26,579805,,
496255,Cafe Remember,A nice and loud place with alcohol and an indoor smoking area. The prices are a little bit more on the expensive side but you are in the middle of the red light district. The toilets are free but there is a coin tray if you feel like throwing in 50 cents.,3,The toilets are free but there is a coin tray if you feel like throwing in 50 cents.,18,541642,,
496256,Cafe Remember,The bartenders don't give you exact change thinking you're probably too drunk. Also its too crowded and they charge 50 cents to use the toilet. Highly non recommended place.,3,Also its too crowded and they charge 50 cents to use the toilet.,13,157139,,
500498,Billy's Thai Restaurant,We were not allowed to visit a toilet. The price for toilet was 20€,2,The price for toilet was 20€,6,528064,,
516419,The Bulldog - Mack Café,"Very rude lady wanted to charge me and then wouldn't take my coins to use the bathroom, apparently 2 euro cents aren't valid here! We also asked for small Heineken and they charged us for 5 euro bottles rather than the 2 euro 80 cent size. Very bad tourist rip off establishment. Avoid, you'll have a much better time elsewhere!",4,"Very rude lady wanted to charge me and then wouldn't take my coins to use the bathroom, apparently 2 euro cents aren't valid here!",30,589270,,
517746,Cafe Keppler,Been there for a bite (sweet potatoes quiche and fries) and some live music; nice atmosfere and good quality the food. Toilet is clean wich is always a plus,2,Toilet is clean wich is always a plus,8,566314,,
520822,Kopstootbar," Too simple, and the prices are decent! In the toilet there is no water to wash your hands …",2,In the toilet there is no water to wash your hands …,11,352533,,
523213,Restaurant Dubbel,Food and drink was fine. Unfortunately the toilet was very dirty. …,3,Unfortunately the toilet was very dirty.,6,573546,,
525980,Ponte Arcari," The food is great, only the toilet could use a makeover.

 …",2," The food is great, only the toilet could use a makeover.",12,102915,,
528252,Grillroom Donny," We visited this snack with 5 people, the selection was quite large and the seller was very nice. Unfortunately, the toilet was very dirty and not really inviting. The food didn't taste particularly good either. …",4,"Unfortunately, the toilet was very dirty and not really inviting.",11,574055,,
533809,Dijk 120,The worst bar I've ever been to in my entire life. I paid 14 euro for 2 Heineken and they still told me to pay 50 cents for the bathroom even though there was a sign saying that clients go for free. The very mean bar keeper  was insisting …,3,I paid 14 euro for 2 Heineken and they still told me to pay 50 cents for the bathroom even though there was a sign saying that clients go for free.,31,334056,,
534970,Chicago Social Club,Why do women have to pay for the toilets but men don't? Very rude staff,2,Why do women have to pay for the toilets but men don't?,15,618210,,
535031,Chicago Social Club," Good music and cozy lighting. However, it is strange that the women's toilet is paid for and the men's toilet is free ... …",2,"However, it is strange that the women's toilet is paid for and the men's toilet is free ... …",22,317610,,
540212,Stach cafe,"Bad and expensive espresso. Bathroom without soap and towels, so one can't either wash its hands.",2,"Bathroom without soap and towels, so one can't either wash its hands.",15,181982,,
549017,The Roast Room," Nice staff, and a very nice toilet room. Certainly worth peeing. …",3," Nice staff, and a very nice toilet room.",9,77597,,
555048,Cooldown Cafe,"Lots of people smoking inside, very hard to breathe. Lighting was cool though. Toilets were 50 cents to use",3,Toilets were 50 cents to use,6,566436,,
555049,Cooldown Cafe,Unbelievable service. Kicked us out because we didn’t have 50 cents for the toilet. Worst service ever. Very aggressive doorkeepers who were pushing and smashing us for no reason!,4,Kicked us out because we didn’t have 50 cents for the toilet.,13,371891,,
555108,Cooldown Cafe," If you spend 45 euros per pin and you are not allowed to pee because you do not have 0.50 cents in cash, then you know that you have to go home immediately. What a c * t tent and toilet lady. …",3,What a c * t tent and toilet lady.,9,614382,,
559874,Cannibale Royale Ruysdael,The ladies bathroom door lock doesn’t work and they know it. A pregnant woman has been staked for some minutes. Do they will fix it ? Let’s see.,4,The ladies bathroom door lock doesn’t work and they know it.,12,517474,,
567707,New York Pizza,"Very dirty and you have to pay to enter the bathroom which has no paper, and smells horribly. I didn't like it. The food is so so... A lot of onion and i asked them not to add it. I waited for my Pizza 30 minutes though it was not busy. The personal is nice though.",5,"Very dirty and you have to pay to enter the bathroom which has no paper, and smells horribly.",19,579471,,
567712,New York Pizza,"Pay for toilets, no toilet paper, rude staff, pizza below mediocre! Avoid this place!!!!",3,"Pay for toilets, no toilet paper, rude staff, pizza below mediocre!",15,435558,,
572718,Cinema Club,Great vibe and plays lots of different type of music.. Bar staff are friendly and happy to serve you. They also have a few chairs outside the bar to hang out. Bathrooms are clean.. No Entry fee,3,Bathrooms are clean.. No Entry fee,6,181984,,
1895,Firma Pekelharing,"Big restaurant, with an Italian menu. The staff is very friendly and I enjoyed me gnocchi and creme brûlée a lot. Downside is maybe the very loud noise because of the size and setup. But nice for a groep of 2-6 people",4,Downside is maybe the very loud noise because of the size and setup.,13,229271,,
5397,Café-Restaurant Dauphine," Nice location, big and good map. Lots of business discussions. It is always very busy around lunch time, so there is a lot of noise. Delicious dishes! …",5,"It is always very busy around lunch time, so there is a lot of noise.",16,357436,,
5492,Café-Restaurant Dauphine,Easily accessible but not special as a restaurant. Operation is slow and for a business lunch the noise level is quickly somewhat high. …,3,Operation is slow and for a business lunch the noise level is quickly somewhat high.,15,429195,,
10616,Rijsel,"Rijsel servers an excellent menu every time I have visited here. It always fully booked and make sure you reserve well in advance. Staff is friendly and helpful. I don't like the acoustics of the place so much, its very hollow which for me makes it hard to hear what the people I'm whith are talking about.",4,"I don't like the acoustics of the place so much, its very hollow which for me makes it hard to hear what the people I'm whith are talking about.",34,323648,,
10730,Rijsel," Good food and a friendly and attentive service, but unfortunately a deafening noise. …",2," Good food and a friendly and attentive service, but unfortunately a deafening noise.",14,42456,,
11870,Amstelhaven," Rancid air that hangs here, slow service and often a lot of noise from drunk students! …",2," Rancid air that hangs here, slow service and often a lot of noise from drunk students!",18,86350,,
13392,Caff√© Belmondo,Horrible noise from coffee machine makes conversation a hell. …,2,Horrible noise from coffee machine makes conversation a hell.,9,55803,,
16996,Golden Brown Bar," Food was very good, cocktail (Mojito) was a bit watery and therefore boring. The atmosphere is good. There was a lot of noise from the different tables, it could be experienced as busy. …",4,"There was a lot of noise from the different tables, it could be experienced as busy.",17,549258,,
19270,Caf√© Sloterplas,"Very beautiful, and veryer quiet. No noise from the city!!and not much people either!!!",4,No noise from the city!,6,414036,,
23078,Temple Bar,"Decent food.
Lots of noise even thou I was the only guest inside. This due to a lot of yelling between the bar and the kitchen. Have no idea why they did this, but loud it was.",4,Lots of noise even thou I was the only guest inside.,11,378962,,
28216,CAU,Steaks are good but the other items on the menu are less. Lots of noise in the background due to loud music. Service is very good. …,4,Lots of noise in the background due to loud music.,10,378965,,
44844,Roses by Sal,Reading the reviews here you already go in with high expectations. I can easily say they were all surpassed for me. Top quality service and food! A bit loud because of the acoustics of the place and you might need to speak a bit louder for conversation but nobody will be talking much once the food arrives. Will come again!,5,A bit loud because of the acoustics of the place and you might need to speak a bit louder for conversation but nobody will be talking much once the food arrives.,31,141208,,
45033,Roses by Sal,"The food was delicious! You need to cope with a packed place with lots of noise from other table. We lived the atmosphere, the service, their recommendations on dishes and the food. We will go back for sure!",4,You need to cope with a packed place with lots of noise from other table.,15,629405,,
45079,Roses by Sal,"The food is fine, quite expensive for not having enough space and lot of noise. Small tables with no space between each other. We ask for medium cook meat and it came totally raw inside.",3,"The food is fine, quite expensive for not having enough space and lot of noise.",16,509590,,
47923,Gollem's Proeflokaal," Tasty beer but an unwise pokey noise. There is no conversation, so then drink beer. …",3,Tasty beer but an unwise pokey noise.,7,98071,,
47941,Gollem's Proeflokaal," Café with small map and quietly socialize there is not because there is too much noise from the other guests.
Unfortunately no choice of white or brown bread, you just get brown! …",3,Café with small map and quietly socialize there is not because there is too much noise from the other guests.,20,14877,,
50306,De Engelse Reet," Quiet cafe in a busy neighborhood. No slot machine, no music, no noise. …",3,"No slot machine, no music, no noise.",9,414479,,
52078,Bierfabriek," Nice for large groups that want to (can) make a lot of noise. Chicken is delicious. DO NOT take the salad; here you pay 4.50 for 5 leaves of lettuce, 1 cherry tomato, 1/2 walnut and 2 pieces of sliced ​​paprika or …",3,Nice for large groups that want to (can) make a lot of noise.,15,72982,,
